video_id,video_name,ball,segment_id,release_frame,batter_keypoints_path,trigger_detected,predicted_trigger_frames,trigger_start_frame,trigger_end_frame,trigger_confidence,trigger_decision_reason,status
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_1.mp4,1,8b0a450f-04ac-4bd3-a9e6-58156c1f1d75,94,trigger_detection/data/batsman_keypoints/8b0a450f-04ac-4bd3-a9e6-58156c1f1d75_batter_keypoints.csv,False,[],,,0.0,insufficient_factor_change_vs_preload,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_11.mp4,11,756c734d-d0d1-4552-9c2e-2d5e1ea5c1b8,92,trigger_detection/data/batsman_keypoints/756c734d-d0d1-4552-9c2e-2d5e1ea5c1b8_batter_keypoints.csv,True,"[78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89]",78.0,89.0,30.03946806201292,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_12.mp4,12,f74c47ed-e3a8-4837-a8f0-91797403c240,82,trigger_detection/data/batsman_keypoints/f74c47ed-e3a8-4837-a8f0-91797403c240_batter_keypoints.csv,True,"[68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]",68.0,79.0,6.299902433895471,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_13.mp4,13,d6d35dfb-f53b-4c4d-b70d-bee2ddc58d78,88,trigger_detection/data/batsman_keypoints/d6d35dfb-f53b-4c4d-b70d-bee2ddc58d78_batter_keypoints.csv,True,"[67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78]",67.0,78.0,18.087312073867373,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_15.mp4,15,ab007ad6-763e-4971-a20e-4b670742b969,83,trigger_detection/data/batsman_keypoints/ab007ad6-763e-4971-a20e-4b670742b969_batter_keypoints.csv,True,"[69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80]",69.0,80.0,36.27144664878166,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_16.mp4,16,56da660d-21fe-4c1b-926d-1e8dba22b494,91,trigger_detection/data/batsman_keypoints/56da660d-21fe-4c1b-926d-1e8dba22b494_batter_keypoints.csv,True,"[73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84]",73.0,84.0,5.343461882241222,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_18.mp4,18,5e32b976-3f82-45a0-8fbc-af21e9c8e788,88,trigger_detection/data/batsman_keypoints/5e32b976-3f82-45a0-8fbc-af21e9c8e788_batter_keypoints.csv,False,[],,,0.0,insufficient_factor_change_vs_preload,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_22.mp4,22,c28dc68e-fcba-440e-9e27-116547b5a057,81,trigger_detection/data/batsman_keypoints/c28dc68e-fcba-440e-9e27-116547b5a057_batter_keypoints.csv,True,"[67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77]",67.0,77.0,14.304769304381,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_24.mp4,24,778ea8fb-af1e-4d4d-90c2-4100f26ea3f4,82,trigger_detection/data/batsman_keypoints/778ea8fb-af1e-4d4d-90c2-4100f26ea3f4_batter_keypoints.csv,True,"[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]",65.0,76.0,9.781977281794552,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_25.mp4,25,943201e7-b212-4cd1-8ba4-2228b50d732f,89,trigger_detection/data/batsman_keypoints/943201e7-b212-4cd1-8ba4-2228b50d732f_batter_keypoints.csv,True,"[77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]",77.0,88.0,9.134958830085427,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_26.mp4,26,be307b8a-9526-4a20-a3cc-cb95bae24713,82,trigger_detection/data/batsman_keypoints/be307b8a-9526-4a20-a3cc-cb95bae24713_batter_keypoints.csv,True,"[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]",65.0,76.0,6.327265877724419,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_29.mp4,29,985240e5-5096-4703-901d-80ab090a6ceb,91,trigger_detection/data/batsman_keypoints/985240e5-5096-4703-901d-80ab090a6ceb_batter_keypoints.csv,True,"[74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85]",74.0,85.0,5.358553199072682,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_30.mp4,30,a8009ff2-d327-4355-a53f-b551637d829f,83,trigger_detection/data/batsman_keypoints/a8009ff2-d327-4355-a53f-b551637d829f_batter_keypoints.csv,True,"[63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]",63.0,74.0,15.41073228933022,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_31.mp4,31,1777d9a0-140a-4ed0-b393-0e324b28032d,82,trigger_detection/data/batsman_keypoints/1777d9a0-140a-4ed0-b393-0e324b28032d_batter_keypoints.csv,True,"[69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80]",69.0,80.0,13.8268283521613,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_32.mp4,32,09970595-c084-4e9b-ba92-54f9acef0350,86,trigger_detection/data/batsman_keypoints/09970595-c084-4e9b-ba92-54f9acef0350_batter_keypoints.csv,True,"[67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77]",67.0,77.0,4.637068092627526,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_34.mp4,34,8941c284-63b4-4541-8215-446e7ec3cb0e,84,trigger_detection/data/batsman_keypoints/8941c284-63b4-4541-8215-446e7ec3cb0e_batter_keypoints.csv,True,"[64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75]",64.0,75.0,6.358302449781642,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_4.mp4,4,3eb2b36c-9fe0-4ff7-92b9-639212e00c76,92,trigger_detection/data/batsman_keypoints/3eb2b36c-9fe0-4ff7-92b9-639212e00c76_batter_keypoints.csv,True,"[73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84]",73.0,84.0,11.799252946629634,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_5.mp4,5,558282ab-55d0-458a-8b34-32aeeb96aab5,88,trigger_detection/data/batsman_keypoints/558282ab-55d0-458a-8b34-32aeeb96aab5_batter_keypoints.csv,True,"[71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]",71.0,82.0,10.472023451263643,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_6.mp4,6,bca4ffb0-e41a-4296-8529-b57c1aa6da1f,93,trigger_detection/data/batsman_keypoints/bca4ffb0-e41a-4296-8529-b57c1aa6da1f_batter_keypoints.csv,True,"[74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85]",74.0,85.0,5.556714824562299,actual_trigger,processed
fa7c87e5-08b5-4aea-bf5d-a685b470104b,fa7c87e5-08b5-4aea-bf5d-a685b470104b_7.mp4,7,f1a15a53-8897-494b-9560-f8bd5aff3154,99,trigger_detection/data/batsman_keypoints/f1a15a53-8897-494b-9560-f8bd5aff3154_batter_keypoints.csv,True,"[75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",75.0,86.0,4.694313533600265,actual_trigger,processed
